title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Greenland,2020-07-29,4603,7.1,"Action, Thriller",34000000.0,52300000.0,120.0,103.586,"STXfilms, Thunder Road, Anton, G-BASE, Riverstone Pictures, Truenorth Productions","United Kingdom, United States of America, Iceland",English,Ric Roman Waugh,Chris Sparling,"Gerard Butler, Morena Baccarin, Roger Dale Floyd",6.4,"142,320",64.0,PG-13,1 win & 2 nominations total,77.0,64.0
Don't Listen,2020-07-24,749,6.5,"Drama, Horror, Thriller",,443458.0,98.0,10.934,"Kowalski Films, Canal Sur, Feelgood Media, Estudio V, Lanube Películas, TVE",Spain,Spanish,Ángel Gómez Hernández,"Santiago Díaz, Ángel Gómez Hernández, Víctor Gado","Rodolfo Sancho, Ana Fernández, Ramón Barea",6.1,"17,601",,TV-MA,2 wins & 2 nominations,71.0,
Offering to the Storm,2020-07-24,313,6.465,"Crime, Thriller, Mystery",5989313.0,,139.0,11.04,"Nostromo Pictures, Mantecadas Salazar AIE, Atresmedia, Nadcon Film, ZDF, ARTE, DeAPlaneta, Orange Studio","Germany, Spain","Basque, English, Spanish",Fernando González Molina,"Luiso Berdejo, Dolores Redondo","Marta Etura, Leonardo Sbaraglia, Carlos Librado 'Nene'",6.2,"7,891",,TV-MA,1 win total,60.0,
The Kissing Booth 2,2020-07-24,5010,7.64,"Comedy, Romance",,,132.0,46.616,"Komixx Entertainment, Picture Loom Productions, Clearblack Films",United Kingdom,English,Vince Marcello,"Vince Marcello, Jay S Arnold, Beth Reekles","Joey King, Joel Courtney, Jacob Elordi",5.7,"40,024",39.0,TV-14,2 wins total,29.0,39.0
"Yes, God, Yes",2020-07-24,536,6.299,"Drama, Comedy",,,78.0,18.903,"Maiden Voyage Pictures, RT Features, Walking Tacos","Brazil, United States of America",English,Karen Maine,Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz",6.1,"18,872",71.0,R,2 wins & 1 nomination total,92.0,71.0
Dangerous Lies,2020-04-30,866,6.3,Thriller,,,96.0,10.367,"Off Camera Entertainment, Front Street Pictures","Canada, United States of America",English,Michael M. Scott,David Golden,"Nick Purcha, Joe Costa, Camila Mendes",5.4,"19,148",51.0,TV-14,2 wins & 1 nomination,24.0,51.0
Becky,2020-07-23,598,6.284,"Thriller, Horror, Action",,1045873.0,93.0,12.754,"Yale Productions, BoulderLight Pictures, BondIt, Buffalo 8 Productions, SSS Entertainment, SSS Film Capital",United States of America,English,"Jonathan Milott, Cary Murnion","Ruckus Skye, Lane Skye, Nick Morris","Lulu Wilson, Kevin James, Joel McHale",6.0,"26,241",54.0,R,1 win & 1 nomination total,72.0,54.0
The Rental,2020-07-23,904,5.542,"Horror, Thriller",3500000.0,4311042.0,88.0,11.709,"Black Bear Pictures, Ramona Films",United States of America,English,Dave Franco,"Dave Franco, Joe Swanberg, Mike Demski","Dan Stevens, Alison Brie, Sheila Vand",5.7,"40,294",62.0,R,5 nominations,73.0,62.0
The King of Staten Island,2020-07-22,1016,7.011,"Comedy, Drama",35000000.0,2200000.0,137.0,13.262,"Universal Pictures, Apatow Productions",United States of America,English,Judd Apatow,"Judd Apatow, Pete Davidson, Dave Sirus","Pete Davidson, Bel Powley, Ricky Velez",7.1,"78,688",67.0,R,3 wins & 24 nominations total,76.0,67.0
A Nice Girl Like You,2020-07-18,346,5.777,"Comedy, Romance",6100000.0,769234.0,94.0,10.594,"Vertical Entertainment, SPR Media, Affirmative Entertainment, CaliWood Pictures, Voltage Pictures",United States of America,English,"Chris Riedell, Nick Riedell","Ayn Carrillo Gailey, Andrea Marcellus","Lucy Hale, Leonidas Gulaptis, Mindy Cohn",5.2,"7,994",41.0,R,,11.0,41.0
The Silencing,2020-07-18,695,6.4,"Thriller, Action, Crime",,,93.0,13.923,"Anova Pictures, Silencing Canada Productions, Wildling Pictures, Madrona Drive","Canada, United States of America",English,Robin Pront,Micah Ranum,"Nikolaj Coster-Waldau, Caleb Ellsworth-Clark, Josh Cruddas",6.3,"36,145",,R,1 nomination total,30.0,
Unhinged,2020-07-16,2317,6.4,"Action, Thriller, Horror",33000000.0,39238300.0,90.0,27.138,"Solstice Studios, Burek Films, Ingenious Media, Altitude Film Entertainment","United States of America, United Kingdom",English,Derrick Borte,Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman",6.0,"81,309",40.0,R,1 nomination total,49.0,40.0
Peninsula,2020-07-15,2384,6.8,"Horror, Action, Thriller, Adventure",17000000.0,42698327.0,115.0,42.195,"Next Entertainment World, RedPeter Films, Contents Panda, Union Investment Partners, Michigan Venture Capital",South Korea,"English, Korean",Yeon Sang-ho,"Yeon Sang-ho, Ryu Yong-jae","Gang Dong-won, Geoffrey Giuliano, John D. Michaels",5.5,"39,662",51.0,Not Rated,8 wins & 20 nominations total,55.0,51.0
Summer of 85,2020-07-14,839,7.4,"Romance, Drama",6900000.0,3600000.0,101.0,12.925,"Mandarin Production, SCOPE Pictures, FOZ, France 2 Cinéma, Playtime, RTBF","Belgium, France","English, French",François Ozon,"Aidan Chambers, François Ozon","Félix Lefebvre, Benjamin Voisin, Philippine Velge",6.9,"14,448",65.0,Not Rated,6 wins & 27 nominations total,81.0,65.0
Palm Springs,2020-07-10,3189,7.3,"Comedy, Romance, Science Fiction",5000000.0,164000.0,90.0,36.203,"Limelight, The Lonely Island, Sun Entertainment Culture Los Angeles",United States of America,"English, Spanish",Max Barbakow,"Andy Siara, Max Barbakow","Andy Samberg, Cristin Milioti, J.K. Simmons",7.4,"195,391",83.0,R,15 wins & 45 nominations total,94.0,83.0
The Old Guard,2020-07-10,4225,7.136,"Action, Fantasy",70000000.0,,125.0,26.486,"Skydance Media, Denver & Delilah Productions, Marc Evans Productions",United States of America,"English, Arabic, French, Italian, Russian",Gina Prince-Bythewood,"Greg Rucka, Leandro Fernandez","Charlize Theron, KiKi Layne, Matthias Schoenaerts",6.7,"190,048",70.0,R,5 wins & 24 nominations total,80.0,70.0
Black Water: Abyss,2020-07-09,435,5.167,"Horror, Action, Adventure",,1117982.0,98.0,35.061,"Altitude Film Sales, Cornerstone Pictures, ProdigyMovies, Filmology Finance","Australia, United States of America","English, French, Russian, Spanish",Andrew Traucki,"John Ridley, Sarah Smith","Jessica McNamee, Luke Mitchell, Amali Golden",4.6,"7,222",46.0,Not Rated,,41.0,46.0
Greyhound,2020-07-09,2970,7.4,"War, Action, Drama",50300000.0,,92.0,29.105,"Playtone, Bron Studios, FilmNation Entertainment, Sycamore Pictures, Zhengfu Pictures, Sony Pictures, Stage 6 Films","Canada, China, United States of America",English,Aaron Schneider,"Tom Hanks, C.S. Forester","Tom Hanks, Elisabeth Shue, Stephen Graham",7.0,"121,611",64.0,PG-13,Nominated for 1 Oscar. 1 win & 24 nominations total,78.0,64.0
Simply Black,2020-07-08,429,5.865,Comedy,,,90.0,6.399,Gaumont,France,French,"John Wax, Jean-Pascal Zadi","Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade, Fary",6.4,"2,587",,,1 win & 4 nominations total,,
The Secret Garden,2020-07-08,585,6.3,"Family, Fantasy, Drama",,8721243.0,99.0,17.658,"Heyday Films, StudioCanal, StudioCanal","France, United Kingdom",English,Marc Munden,"Jack Thorne, Frances Hodgson Burnett","Dixie Egerickx, Richard Hansell, David Verrey",5.6,"10,448",59.0,PG,3 nominations total,66.0,59.0
Scoob!,2020-07-08,1721,7.0,"Animation, Comedy, Family, Mystery",90000000.0,28600000.0,93.0,19.843,"Warner Bros. Pictures Animation, Warner Bros. Pictures, Atlas Entertainment, 1492 Pictures","Canada, United States of America",English,Tony Cervone,"Adam Sztykiel, Jack C. Donaldson, Derek Elliott","Will Forte, Mark Wahlberg, Jason Isaacs",5.6,"30,940",43.0,PG,3 nominations total,48.0,43.0
Ghosts of War,2020-07-03,552,6.3,"Horror, Thriller, War, Science Fiction",,345289.0,94.0,8.199,"Miscellaneous Entertainment, Highland Film Group, Day Tripper Films",United States of America,English,Eric Bress,Eric Bress,"Brenton Thwaites, Kyle Gallner, Alan Ritchson",5.6,"12,555",38.0,R,,38.0,38.0
Follow Me,2020-07-03,509,6.2,"Horror, Thriller",,3551439.0,88.0,10.732,"Escape Productions, Voltage Pictures",United States of America,"Russian, English",Will Wernick,Will Wernick,"Keegan Allen, Holland Roden, Denzel Whitaker",5.4,"13,543",,R,,38.0,
Hamilton,2020-07-03,1444,8.17,"History, Drama",,,160.0,18.871,"RadicalMedia, 5000 Broadway Productions, Nevis Productions, Old 320 Sycamore",United States of America,"French, English",Thomas Kail,"Lin-Manuel Miranda, Ron Chernow","Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",8.3,"122,819",88.0,PG-13,Won 2 Primetime Emmys. 19 wins & 46 nominations total,98.0,88.0
Relic,2020-07-03,748,6.078,"Horror, Mystery",1229578.0,3238539.0,89.0,12.854,"Nine Stories Productions, AGBO, Carver Films, Film Victoria, Screen Australia","Australia, United States of America",English,Natalie Erika James,"Natalie Erika James, Christian White","Robyn Nevin, Emily Mortimer, Bella Heathcote",6.0,"31,580",77.0,R,5 wins & 29 nominations total,91.0,77.0
Force of Nature,2020-07-02,522,5.1,"Action, Adventure, Crime, Thriller",15000000.0,638221.0,91.0,12.359,"Ingenious Media, Blue Box International, FON Film Production, Force of Nature Film, Grindstone Entertainment Group, Pimienta, River Bay Films, SSS Entertainment, Way Down East Entertainment, EFO Films","Puerto Rico, United Kingdom, United States of America","English, Spanish",Michael Polish,Cory Miller,"Emile Hirsch, Mel Gibson, David Zayas",4.6,"13,821",29.0,R,,8.0,29.0
Ava,2020-07-02,2606,5.835,"Action, Thriller, Crime",,2987741.0,96.0,22.226,"Freckle Films, Voltage Pictures, Vertical Entertainment",United States of America,"German, English, French",Tate Taylor,Matthew Newton,"Jessica Chastain, John Malkovich, Common",5.5,"65,252",39.0,R,,21.0,39.0
Desperados,2020-07-01,480,5.998,"Comedy, Romance",,,105.0,7.906,"Lost City, Good Universe, MXN Entertainment",United States of America,"English, Spanish",LP,Ellen Rapoport,"Nasim Pedrad, Anna Camp, Lamorne Morris",5.2,"11,376",41.0,TV-MA,1 win total,16.0,41.0
Under the Riccione Sun,2020-07-01,554,6.2,"Comedy, Romance",3000000.0,,102.0,9.434,"Lucky Red, New International",Italy,Italian,Younuts,"Caterina Salvadori, Enrico Vanzina, Ciro Zecca","Cristiano Caccamo, Davide Calgaro, Matteo Oscar Giuggioli",5.6,"3,279",,TV-MA,,,
The Vigil,2020-07-01,393,5.803,"Horror, Mystery",,1868659.0,88.0,6.654,"Angry Adam Productions, Blumhouse Productions, BoulderLight Pictures",United States of America,"English, Hebrew, Yiddish",Keith Thomas,Keith Thomas,"Dave Davis, Menashe Lustig, Malky Goldman",5.8,"10,330",69.0,PG-13,3 nominations total,90.0,69.0
The F**k-It List,2020-07-01,486,6.1,Comedy,5000000.0,,103.0,8.787,"Awesomeness Films, Paramount Pictures",United States of America,English,Michael Duggan,"Michael Duggan, Dan McDermott","Eli Brown, Madison Iseman, Marcus Scribner",5.2,"7,689",,TV-MA,,0.0,
Irresistible,2020-07-01,447,6.009,"Comedy, Drama",,177418.0,101.0,10.878,"Focus Features, Plan B Entertainment, Busboy Productions",United States of America,English,Jon Stewart,Jon Stewart,"Steve Carell, Rose Byrne, Chris Cooper",6.3,"23,999",47.0,R,1 nomination total,40.0,47.0
Rich in Love,2020-04-30,616,7.71,"Romance, Comedy",,,104.0,9.309,Ananã Produções,Brazil,Portuguese,"Bruno Garotti, Jessica Blue, Anita Barbosa","Bruno Garotti, Sylvio Gonçalves","Danilo Mesquita, Giovanna Lancellotti, Jaffar Bambirra",6.0,"3,476",,TV-14,,,
We Bare Bears: The Movie,2020-06-30,811,7.8,"Animation, Adventure, Family, Comedy, TV Movie",,,69.0,16.572,Cartoon Network Studios,United States of America,English,Daniel Chong,"Christina Chang, Daniel Chong, Alexandra Chiu","Eric Edelstein, Bobby Moynihan, Demetri Martin",6.7,"2,658",,TV-Y7,,,
Eurovision Song Contest: The Story of Fire Saga,2020-06-26,1437,6.439,"Comedy, Music",,,123.0,12.787,Gary Sanchez Productions,United States of America,"English, French, Icelandic, Portuguese",David Dobkin,"Will Ferrell, Harper Steele","Will Ferrell, Rachel McAdams, Dan Stevens",6.5,"104,956",50.0,PG-13,Nominated for 1 Oscar. 6 wins & 28 nominations total,64.0,50.0
100% Wolf,2020-06-26,307,6.1,"Animation, Family, Fantasy, Adventure",,9750139.0,96.0,11.764,"Flying Bark Productions, Screen Australia, ScreenWest, ReDefine, Studio 100, Siamese, Create NSW, Lotterywest","Australia, Belgium","English, Danish",Alexs Stadermann,"Ranald Allan, David Breen, Fin Edquist","Loren Gray, Adriane Daff, Akmal Saleh",5.6,"2,615",,PG,1 nomination total,69.0,
Capone,2020-06-26,382,5.0,"Crime, Drama",20600000.0,858281.0,103.0,10.974,"Bron Studios, A Band Apart, Addictive Pictures, Creative Wealth Media Finance, Lawrence Bender Productions, Endeavor Content, AI Film Entertainment","Canada, United States of America","English, Italian",Josh Trank,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon",4.7,"23,898",46.0,R,1 nomination total,40.0,46.0
#Alive,2020-06-24,1853,7.2,"Action, Horror",6300000.0,13416285.0,98.0,27.449,"Lotte Entertainment, Zip Cinema, Perspective Pictures",South Korea,Korean,"Il Cho, Jo Il Hyung","Il Cho, Jo Il Hyung, Chuck Mccue","Yoo Ah-in, Park Shin-hye, Jeon Bae-soo",6.3,"50,572",,TV-MA,1 win & 1 nomination total,,
The Outpost,2020-06-24,1053,6.897,"War, Drama, History, Action",18000000.0,2133452.0,123.0,17.424,"Millennium Media, York Films, Perfection Hunter Productions",United States of America,"English, Pushto",Rod Lurie,"Paul Tamasy, Eric Johnson, Jake Tapper","Scott Eastwood, Caleb Landry Jones, Orlando Bloom",6.8,"44,445",71.0,R,2 wins & 7 nominations total,91.0,71.0
Feel the Beat,2020-06-19,1120,7.585,"Comedy, Music, Drama",,,107.0,17.474,"Resonate Entertainment, Bitter Boy Productions","Canada, United States of America","Turkish, English",Elissa Down,"Michael Armbruster, Shawn Ku","Sofia Carson, Pamela MacDonald, Sonia Laplante",6.3,"13,611",,TV-G,1 win & 3 nominations,53.0,
Lost Bullet,2020-06-19,792,6.609,"Action, Thriller, Crime",,,92.0,13.307,"Versus Production, Nolita, Inoxy Films","Belgium, France",French,Guillaume Pierret,"Guillaume Pierret, Alban Lenoir, Kamel Guemra","Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia",6.3,"14,521",78.0,TV-MA,,67.0,78.0
A Whisker Away,2020-06-18,1390,7.9,"Animation, Drama, Romance, Fantasy",,,104.0,25.096,Studio Colorido,Japan,Japanese,"Jun'ichi Satô, Tomotaka Shibayama",Mari Okada,"Mirai Shida, Natsuki Hanae, Minako Kotobuki",6.7,"15,444",,TV-PG,2 wins & 2 nominations total,93.0,
You Should Have Left,2020-06-18,795,5.986,"Horror, Thriller",,,93.0,32.523,"Blumhouse Productions, Universal Pictures",United States of America,English,David Koepp,"David Koepp, Daniel Kehlmann","Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex",5.4,"28,219",46.0,R,,40.0,46.0
Return of the Tooth Fairy,2020-06-15,851,6.5,Horror,,,91.0,10.386,"ChampDog Films, Great Movies, High Fliers Films, ITN Distribution",United Kingdom,"German, English",Louisa Warren,Tom Jolliffe,"Jake Watkins, Katie McKenna, Gus Fithen",2.0,485,,,,,
Bad Tales,2020-06-15,574,6.744,Drama,,,98.0,6.322,"Amka Films, Vision Distribution, QMI, Sky Italia, RSI, SRG SSR, Pepito Produzioni, RAI Cinema","Italy, Switzerland",Italian,"Damiano D'Innocenzo, Fabio D'Innocenzo","Damiano D'Innocenzo, Fabio D'Innocenzo","Elio Germano, Tommaso Di Cola, Giulietta Rebeggiani",6.4,"7,221",60.0,,22 wins & 28 nominations total,47.0,60.0
Babyteeth,2020-06-15,353,6.875,"Drama, Comedy, Romance",,989310.0,118.0,8.453,"Create NSW, Whitefalk Films, Screen Australia, Jan Chapman Films, Spectrum Films, WeirAnderson.com, Entertainment One",Australia,English,Shannon Murphy,Rita Kalnejais,"Eliza Scanlen, Michelle Lotters, Toby Wallace",7.2,"19,582",77.0,MA-17,Nominated for 1 BAFTA Award30 wins & 29 nominations total,94.0,77.0
Z-O-M-B-I-E-S 2,2020-06-13,455,7.5,"Fantasy, Romance, TV Movie",,,84.0,21.301,"Bloor Street Productions, Disney Channels Worldwide","Canada, United States of America",English,Paul Hoen,"David Light, Joseph Raso","Milo Manheim, Meg Donnelly, Trevor Tordjman",5.7,"4,147",,TV-G,1 win & 2 nominations,100.0,
Da 5 Bloods,2020-06-12,1080,6.483,"War, Drama",45000000.0,,155.0,13.27,"40 Acres and a Mule Filmworks, Rahway Road Productions",United States of America,"English, Finnish, French, Vietnamese",Spike Lee,"Danny Bilson, Paul De Meo, Kevin Willmott","Delroy Lindo, Jonathan Majors, Clarke Peters",6.5,"55,838",82.0,R,Nominated for 1 Oscar. 41 wins & 200 nominations total,92.0,82.0
The High Note,2020-06-10,450,7.0,"Romance, Comedy, Music, Drama",,,113.0,10.582,"Working Title Films, Perfect World Pictures, Focus Features, Working Title Films","United Kingdom, United States of America",English,Nisha Ganatra,Flora Greeson,"Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr.",6.4,"13,943",58.0,PG-13,1 win & 8 nominations total,71.0,58.0
The Last Days of American Crime,2020-06-05,818,6.5,"Action, Crime, Thriller",,,149.0,8.842,"Radical Studios, Mandalay Pictures, Radical Pictures",United States of America,"English, Croatian, Danish, Greek, Irish, Norwegian, Polish, Russian",Olivier Megaton,"Karl Gajdusek, Rick Remender, Greg Tocchini","Neels Clasen, Edgar Ramírez, Tony Caprari",3.8,"12,584",15.0,TV-MA,,0.0,15.0
Gabriel's Inferno,2020-05-29,2416,8.4,"Romance, Drama",,,122.0,11.529,PassionFlix,United States of America,English,Tosca Musk,"Mary Pocrnic, Sylvain Reynard","Melanie Zanetti, Giulio Berruti, James Andrew Fraser",5.9,"3,939",,Not Rated,,,
Artemis Fowl,2020-05-29,1658,5.6,"Adventure, Fantasy, Science Fiction, Family, Action",125000000.0,,94.0,20.579,"Tribeca Productions, Walt Disney Pictures, TKBC","United Kingdom, United States of America",English,Kenneth Branagh,"Eoin Colfer, Hamish McColl, Conor McPherson","Ferdia Shaw, Lara McDonnell, Josh Gad",4.3,"30,866",31.0,PG,2 nominations total,8.0,31.0
The Lovebirds,2020-05-22,699,6.1,"Comedy, Action, Romance",,,87.0,12.583,"Paramount Pictures, Quinn's House, 3 Arts Entertainment, MRC, Semi-Formal Productions",United States of America,English,Michael Showalter,"Aaron Abrams, Brendan Gall, Martin Gero","Issa Rae, Kumail Nanjiani, Paul Sparks",6.1,"28,040",59.0,R,1 win & 3 nominations,66.0,59.0
Body Cam,2020-05-19,353,6.2,"Horror, Thriller, Mystery",,,96.0,15.672,"Paramount Players, ACE Entertainment",United States of America,English,Malik Vitthal,"Nicholas McCarthy, Richmond Riedel","Mary J. Blige, Nat Wolff, David Zayas",5.3,"7,528",37.0,R,,43.0,37.0
Proximity,2020-05-15,328,6.5,"Science Fiction, Drama",,,119.0,18.39,Demeusy Pictures,United States of America,English,Eric Demeusy,"Eric Demeusy, Jason Mitcheltree","Ryan Masson, Highdee Kuan, Christian Prentice",4.8,"7,252",38.0,Not Rated,,,38.0
The Wrong Missy,2020-05-13,1188,6.151,"Comedy, Romance",,,90.0,19.317,"QC Entertainment, Happy Madison Productions",United States of America,English,Tyler Spindel,"Chris Pappas, Kevin Barnett","David Spade, Lauren Lapkus, Nick Swardson",5.8,"46,977",33.0,TV-MA,5 nominations,33.0,33.0
The Nest,2020-05-08,339,6.084,Drama,,1200000.0,107.0,10.399,"FilmNation Entertainment, BBC Film, Element Pictures, Elevation Pictures","Canada, Ireland, United Kingdom, United States of America",English,Sean Durkin,Sean Durkin,"Jude Law, Carrie Coon, Oona Roche",6.3,"19,616",81.0,R,5 wins & 29 nominations total,90.0,81.0
Justice League Dark: Apokolips War,2020-05-05,1474,8.218,"Animation, Action, Science Fiction",,,90.0,23.947,"Warner Bros. Animation, DC Entertainment",United States of America,English,"Matt Peters, Christina Sotta","Mairghread Scott (story by), Ernie Altbacker (teleplay by), Mairghread Scott (teleplay by), Jerry Siegel (created by: Superman), Joe Shuster (created by: Superman), Bob Kane (created by: Batman), Bill Finger (created by: Batman), William Moulton Marston (created by: Wonder Woman), Jack Kirby (created by: Fourth World), Alan Moore (created by: John Constantine), Steve Bissette (created by: John Constantine), John Totleben (created by: John Constantine), Jamie Delano (created by: John Constantine), John Ridgway (created by: John Constantine), Marv Wolfman (created by: Cyborg), George Pérez (created by: Cyborg), Marv Wolfman (created by: Raven), George Pérez (created by: Raven), Paul Dini (created by: Harley Quinn), Bruce Timm (created by: Harley Quinn), Karl Kesel (created by: King Shark), Denny O'Neil (created by: Lady Shiva), Len Wein (created by: Swamp Thing), Bernie Wrightson (created by: Swamp Thing), Gardner Fox (created by: Zatanna), Murphy Anderson (created by: Zatanna)","Roger Cross, Rosario Dawson, Christopher Gorham, Camilla Luddington",7.8,"17,596",,R,,100.0,
Arkansas,2020-05-05,318,5.764,"Crime, Thriller, Action, Mystery",,,117.0,9.417,"Buffalo 8, Don Kee Productions, Jeff Rice Films, Media Finance Capital, Rhea Films, Sprockefeller Pictures, StoryBoard Media","United Kingdom, United States of America",English,Clark Duke,"Clark Duke, Andrew Boonkrong, John Brandon","Liam Hemsworth, Jacob Zachar, Chris Mullinax",6.0,"16,269",55.0,R,,51.0,55.0
The Half of It,2020-05-01,1507,7.1,"Comedy, Romance, Drama",,,104.0,17.328,Likely Story,United States of America,"English, Spanish, Mandarin, French, Hindi",Alice Wu,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire",6.9,"44,439",74.0,PG-13,6 wins & 10 nominations,97.0,74.0
Inheritance,2020-04-30,652,6.4,"Drama, Mystery, Thriller",,,110.0,36.644,"Highland Film Group, Ingenious Media, Southpaw Entertainment, White Comet Films, Vertical Entertainment, DirecTV","United States of America, United Kingdom",English,Vaughn Stein,Matthew Kennedy,"Lily Collins, Simon Pegg, Connie Nielsen",5.6,"21,345",31.0,TV-MA,,24.0,31.0
Extraction,2020-04-23,6140,7.3,"Action, Thriller",65000000.0,,116.0,61.405,"AGBO, Thematic Entertainment, TGIM Films",United States of America,"Bengali, English, Hindi",Sam Hargrave,"Joe Russo, Ande Parks, Anthony Russo","Chris Hemsworth, Bryon Lerum, Ryder Lerum",6.8,"273,553",56.0,R,4 wins & 15 nominations total,67.0,56.0
The Willoughbys,2020-04-22,915,7.057,"Animation, Comedy, Family",,,92.0,11.362,"Bron Animation, Creative Wealth Media Finance, Bron Studios",Canada,English,"Kris Pearn, Cory Evans, Rob Lodermeier","Kris Pearn, Mark Stanleigh, Lois Lowry","Will Forte, Maya Rudolph, Alessia Cara",6.4,"22,096",68.0,PG,16 nominations,92.0,68.0
Persian Lessons,2020-04-17,407,7.6,"War, Drama",,3825668.0,127.0,10.331,"Hype Film, LM Media, One Two Films, Belarusfilm","Russia, Germany, Belarus","German, English, Italian, Persian, French",Vadim Perelman,"Ilja Zofin, Wolfgang Kohlhaase","Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay",7.4,"13,392",53.0,,9 wins & 15 nominations total,80.0,53.0
The Dark and the Wicked,2020-04-16,460,6.2,Horror,,736153.0,95.0,11.943,"Travelling Picture Show Company, Unbroken Pictures, Shotgun Shack Pictures, Inwood Road Films",United States of America,English,Bryan Bertino,Bryan Bertino,"Marin Ireland, Michael Abbott Jr., Julie Oliver-Touchstone",6.1,"25,413",72.0,Not Rated,4 wins & 13 nominations total,90.0,72.0
The Secret: Dare to Dream,2020-04-16,615,7.293,"Drama, Romance",21000000.0,3215636.0,107.0,10.013,"Savvy Media Holdings, Covert Media, Roadside Attractions, Illumination Productions, Robert Cort Productions, Shine Box Media Group, Tri G",United States of America,English,Andy Tennant,"Bekah Brunstetter, Andy Tennant, Rick Parks","Katie Holmes, Josh Lucas, Celia Weston",6.5,"18,617",32.0,PG,2 nominations total,28.0,32.0
Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,1387,8.102,"Animation, Action, Fantasy",,,80.0,33.957,Warner Bros. Animation,United States of America,English,Ethan Spaulding,"Jeremy Adams, Ed Boon, John Tobias","Jennifer Carpenter, Joel McHale, Ike Amadi",7.4,"20,052",,R,1 win & 1 nomination total,90.0,
Love Wedding Repeat,2020-04-10,703,5.648,"Comedy, Romance",,,100.0,11.238,"Notorious Pictures, Tempo Productions Limited","United Kingdom, Italy","English, Italian",Dean Craig,"Dean Craig, Francis Nief, Christelle Raynal","Sam Claflin, Olivia Munn, Freida Pinto",5.6,"22,524",41.0,TV-MA,,35.0,41.0
Money Heist: The Phenomenon,2020-04-03,1074,7.4,Documentary,,,57.0,18.756,Vancouver Media,Spain,Spanish,"Luis Alfaro, Pablo Lejarreta","Pablo Lejarreta, Javier Gómez Santander, Álex Pina","Úrsula Corberó, Rodrigo de la Serna, Miguel Herrán",7.5,"3,815",,TV-14,,,
Coffee & Kareem,2020-04-03,413,5.479,"Comedy, Action, Crime",,,88.0,7.346,"Pacific Electric Picture Co., Palm Drive Productions",United States of America,English,Michael Dowse,Shane Mack,"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh",5.2,"14,780",35.0,TV-MA,1 win & 1 nomination,21.0,35.0
The New Mutants,2020-04-02,3450,6.1,"Science Fiction, Horror, Action",67000000.0,49169594.0,94.0,35.345,"20th Century Studios, Genre Films, Sunswept Entertainment, Marvel Entertainment",United States of America,"Latin, Portuguese, English",Josh Boone,"Josh Boone, Knate Lee","Maisie Williams, Anya Taylor-Joy, Charlie Heaton",5.3,"94,517",43.0,PG-13,4 nominations total,36.0,43.0
Resistance,2020-03-27,433,6.962,"War, History, Drama",,449753.0,120.0,10.759,"Pantaleon Films, Bliss Media, Epicentral Studios, Ingenious Media, Riverstone Pictures, RocketScience, Resistance Film US, Warner Bros. Film Productions Germany, Vertical Media","China, Czech Republic, Germany, Panama, United Kingdom, United States of America","French, German, English, Italian, Hebrew",Jonathan Jakubowicz,Jonathan Jakubowicz,"Jesse Eisenberg, Clémence Poésy, Matthias Schweighöfer",6.5,"9,338",53.0,R,2 nominations total,57.0,53.0
The Occupant,2020-03-25,748,6.382,"Thriller, Drama",,,103.0,8.701,Nostromo Pictures,Spain,Spanish,"David Pastor, Àlex Pastor","Àlex Pastor, David Pastor","Javier Gutiérrez, Mario Casas, Bruna Cusí",6.4,"20,426",,TV-MA,3 nominations,65.0,
Nobody Sleeps in the Woods Tonight,2020-03-20,658,5.257,"Comedy, Horror",,,102.0,15.392,"Akson Studio, Plan Zet",Poland,Polish,Bartosz M. Kowalski,"Bartosz M. Kowalski, Jan Kwiecinski, Mirella Zaradkiewicz","Julia Wieniawa-Narkiewicz, Michal Lupa, Wiktoria Gasiewska",4.9,"14,666",,TV-MA,1 nomination,67.0,
Never Rarely Sometimes Always,2020-03-13,525,7.2,Drama,,407807.0,101.0,8.825,"BBC Film, Mutressa Movies, PASTEL, Rooftop Films, Cinereach, Tango Entertainment","United Kingdom, United States of America",English,Eliza Hittman,Eliza Hittman,"Sidney Flanigan, Talia Ryder, Théodore Pellerin",7.4,"31,686",92.0,PG-13,30 wins & 119 nominations,99.0,92.0
