title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Moana 2,2024-11-21,1548,7.234,"Animation, Adventure, Family, Comedy",150000000.0,1044396565.0,99.0,2889.208,"Walt Disney Pictures, Walt Disney Animation Studios, Walt Disney Animation Studios","Canada, United States of America",English,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Jared Bush, Dana Ledoux Miller, Bek Smith","Auli'i Cravalho, Dwayne Johnson, Hualalai Chung",6.9,"69,613",58.0,PG,2 wins & 20 nominations total,61.0,58.0
Wicked,2024-11-20,1749,6.9,"Drama, Romance, Fantasy",150000000.0,724720058.0,162.0,315.625,"Universal Pictures, Marc Platt Productions",United States of America,English,Jon M. Chu,"Winnie Holzman, Dana Fox, Gregory Maguire","Cynthia Erivo, Ariana Grande, Jeff Goldblum",8.0,"110,145",73.0,PG,Nominated for 7 BAFTA 47 wins & 232 nominations total,88.0,73.0
Elevation,2024-11-07,539,6.43,"Action, Science Fiction, Thriller",18000000.0,3300000.0,91.0,564.406,"Lyrical Media, Fuller Media, Inspire Entertainment, Grinder Monkey, John Glenn Entertainment",United States of America,English,George Nolfi,"John Glenn, Jacob Roman, Kenny Ryan","Anthony Mackie, Morena Baccarin, Maddie Hasson",5.6,"10,434",50.0,R,,54.0,50.0
Gladiator II,2024-11-05,2815,6.763,"Action, Adventure, Drama",310000000.0,458718000.0,148.0,770.647,"Paramount Pictures, Scott Free Productions, Lucy Fisher/Douglas Wick Productions",United States of America,English,Ridley Scott,"David Franzoni, Peter Craig, David Scarpa","Paul Mescal, Denzel Washington, Pedro Pascal",6.6,"172,374",64.0,R,Nominated for 3 BAFTA 3 wins & 86 nominations total,71.0,64.0
A Real Pain,2024-11-01,439,6.8,"Comedy, Drama",3000000.0,19571213.0,89.0,122.617,"Fruit Tree, Topic Studios, Extreme Emotions, Rego Park, Mazowiecki i Warszawski Fundusz Filmowy","Poland, United States of America","English, Polish",Jesse Eisenberg,Jesse Eisenberg,"Kieran Culkin, Jesse Eisenberg, Olha Bosova",7.2,"30,056",86.0,R,Nominated for 2 BAFTA 44 wins & 86 nominations total,96.0,86.0
In a Valley of Violence,2016-10-21,586,6.102,"Western, Action",,53647.0,104.0,8.56,Blumhouse Productions,United States of America,English,Ti West,Ti West,"Ethan Hawke, John Travolta, Taissa Farmiga",6.1,"21,600",64.0,R,,78.0,64.0
Heretic,2024-10-31,1107,7.173,"Horror, Thriller",10000000.0,51913394.0,111.0,244.685,"A24, Beck/Woods, Shiny Penny Productions, CatchLight Studios",United States of America,English,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",7.0,"89,818",71.0,R,Nominated for 1 BAFTA Award28 nominations total,91.0,71.0
Absolution,2024-10-31,328,5.877,"Action, Crime, Thriller",30000000.0,3854594.0,112.0,362.845,"Electromagnetic Productions, Sculptor Media, north.five.six",United States of America,English,Hans Petter Moland,Tony Gayton,"Liam Neeson, Daniel Diemer, Javier Molina",5.2,"5,967",51.0,R,,54.0,51.0
Red One,2024-10-31,2303,7.075,"Action, Fantasy, Comedy",250000000.0,185700759.0,124.0,418.479,"Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",United States of America,English,Jake Kasdan,"Chris Morgan, Hiram Garcia","Dwayne Johnson, Chris Evans, Lucy Liu",6.3,"132,234",34.0,PG-13,3 nominations total,30.0,34.0
Juror #2,2024-10-30,1441,6.8,"Crime, Drama",30000000.0,21418477.0,114.0,73.739,"Warner Bros. Pictures, Malpaso Productions, Dichotomy Films",United States of America,English,Clint Eastwood,Jonathan A. Abrams,"Nicholas Hoult, Toni Collette, J.K. Simmons",7.0,"70,008",72.0,PG-13,3 wins & 8 nominations total,92.0,72.0
Here,2024-10-30,311,6.733,Drama,40000000.0,15397270.0,105.0,32.48,"Miramax, ImageMovers",United States of America,English,Robert Zemeckis,"Eric Roth, Robert Zemeckis, Richard McGuire","Tom Hanks, Robin Wright, Paul Bettany",6.3,"12,371",39.0,PG-13,3 nominations total,40.0,39.0
Time Cut,2024-10-29,434,5.688,"Horror, Science Fiction, Thriller",,,90.0,42.837,ACE Entertainment,United States of America,English,Hannah Macpherson,"Michael Kennedy, Hannah Macpherson","Madison Bailey, Antonia Gentry, Michael Shanks",5.0,"15,895",36.0,TV-14,,24.0,36.0
Conclave,2024-10-25,1250,7.101,"Drama, Mystery, Thriller",20000000.0,76443243.0,120.0,272.913,"FilmNation Entertainment, Indian Paintbrush, House Productions","United Kingdom, United States of America","English, Italian, Latin, Spanish",Edward Berger,"Peter Straughan, Robert Harris","Ralph Fiennes, Stanley Tucci, John Lithgow",7.4,"73,774",79.0,PG,Nominated for 8 Oscars. 56 wins & 278 nominations total,93.0,79.0
Don't Move,2024-10-24,731,6.4,"Horror, Thriller",,,92.0,74.563,"Capstone Studios, Hammerstone Studios, Raimi Productions",United States of America,English,"Brian Netto, Adam Schindler","T.J. Cimfel, David White","Kelsey Asbille, Finn Wittrock, Moray Treadwell",5.8,"31,905",54.0,R,1 nomination total,,54.0
Family Pack,2024-10-22,398,5.59,"Adventure, Comedy, Fantasy, Action",,,95.0,39.931,"Radar Films, Mediawan, Asmodee",France,French,François Uzan,"François Uzan, Céleste Balin, Hervé Marly","Franck Dubosc, Jean Reno, Suzanne Clément",5.5,"7,153",,TV-MA,1 nomination total,,
Venom: The Last Dance,2024-10-22,2829,6.791,"Action, Science Fiction, Adventure",120000000.0,478103649.0,109.0,795.591,"Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",United States of America,English,Kelly Marcel,"Kelly Marcel, Tom Hardy, Todd McFarlane","Tom Hardy, Chiwetel Ejiofor, Juno Temple",6.0,"89,143",41.0,PG-13,3 nominations total,41.0,41.0
Parthenope,2024-10-19,367,6.921,"Romance, Drama",32000000.0,8460800.0,137.0,97.354,"The Apartment Pictures, Pathé, Numero10, Saint Laurent Productions","France, Italy","English, Italian",Paolo Sorrentino,Paolo Sorrentino,"Celeste Dalla Porta, Stefania Sandrelli, Gary Oldman",6.9,"3,085",57.0,R,3 nominations total,47.0,57.0
Smile 2,2024-10-16,1299,6.6,"Horror, Mystery",28000000.0,138083280.0,127.0,236.167,"Paramount Pictures, Temple Hill Entertainment, Bad Feeling",United States of America,English,Parker Finn,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage",6.8,"79,212",67.0,R,1 win & 9 nominations total,86.0,67.0
Beating Hearts,2024-10-16,567,7.4,"Romance, Crime, Drama",37315205.0,35929152.0,166.0,90.292,"Trésor Films, Chi-Fou-Mi Productions, StudioCanal, Cool Industrie, France 2 Cinéma, Artémis Productions, Proximus, VOO & Be tv","Belgium, France",French,Gilles Lellouche,"Gilles Lellouche, Audrey Diwan, Neville Thompson","Adèle Exarchopoulos, François Civil, Malik Frikah",7.3,"2,519",50.0,,2 nominations total,32.0,50.0
Anora,2024-10-14,1049,7.047,"Drama, Comedy, Romance",6000000.0,33516549.0,139.0,346.822,"Cre Film, FilmNation Entertainment",United States of America,"English, Armenian, Russian",Sean Baker,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov",7.8,"79,829",91.0,R,Nominated for 6 Oscars. 107 wins & 231 nominations total,94.0,91.0
We Live in Time,2024-10-10,653,7.387,"Romance, Drama",20000000.0,37182814.0,108.0,108.381,"Film4 Productions, SunnyMarch, Shoebox Films, StudioCanal",United Kingdom,English,John Crowley,Nick Payne,"Andrew Garfield, Florence Pugh, Grace Delaney",7.0,"34,806",59.0,R,,79.0,59.0
Canary Black,2024-10-10,377,6.3,"Action, Thriller, Crime",,525704.0,103.0,105.019,"Anton Capital Entertainment, Sentient Entertainment, Brickell & Broadbridge International, Off The Pier Productions","United Kingdom, United States of America",English,Pierre Morel,Matthew Kennedy,"Kate Beckinsale, Rupert Friend, Ray Stevenson",5.3,"9,944",,R,,18.0,
The Apprentice,2024-10-09,471,6.9,"History, Drama",16000000.0,17279457.0,122.0,61.452,"Gidden Media, Head Gear Films, Metrol Technology, Scythia Films, Profile Pictures, Tailored Films, Film Institute, Film i Väst, Fís Éireann/Screen Ireland, RocketScience","Canada, Denmark, Ireland, Sweden, United Kingdom, United States of America",English,Ali Abbasi,Gabriel Sherman,"Sebastian Stan, Jeremy Strong, Martin Donovan",7.1,"30,927",64.0,R,Nominated for 3 BAFTA 2 wins & 26 nominations total,82.0,64.0
Terrifier 3,2024-10-09,1461,6.9,"Horror, Thriller",2000000.0,89947122.0,125.0,237.937,"Cineverse, Bloody Disgusting, Dark Age Cinema, Fuzz on the Lens Productions, The Coven",United States of America,English,Damien Leone,Damien Leone,"Lauren LaVera, David Howard Thornton, Antonella Rose",6.4,"41,536",62.0,Not Rated,1 nomination total,78.0,62.0
The Room Next Door,2024-10-07,380,6.804,Drama,,15102319.0,106.0,72.237,El Deseo,Spain,English,Pedro Almodóvar,"Pedro Almodóvar, Sigrid Nunez","Julianne Moore, Tilda Swinton, John Turturro",7.0,"9,356",71.0,PG-13,3 wins & 27 nominations total,81.0,71.0
Apocalypse Z: The Beginning of the End,2024-10-04,952,6.752,"Drama, Action, Horror",,500000.0,119.0,309.517,Nostromo Pictures,Spain,"Arabic, English, French, Galician, German, Portuguese, Russian, Spanish",Carles Torrens,"Ángel Agudo, Manel Loureiro","Iria del Río, José María Yazpik, Berta Vázquez",6.1,"16,867",,,,,
Woman of the Hour,2024-10-03,673,6.441,"Crime, Drama, Thriller",,,94.0,32.047,"BoulderLight Pictures, Vertigo Entertainment, AGC Studios, BondIt Media Capital",United States of America,English,Anna Kendrick,Ian McDonald,"Anna Kendrick, Daniel Zovatto, Tony Hale",6.6,"54,058",74.0,R,3 wins & 6 nominations total,91.0,74.0
Salem's Lot,2024-10-03,454,6.2,Horror,,851156.0,113.0,46.651,"New Line Cinema, Atomic Monster, Vertigo Entertainment, Wolper Organization",United States of America,English,Gary Dauberman,"Stephen King, Gary Dauberman","Lewis Pullman, Makenzie Leigh, Jordan Preston Carter",5.6,"30,552",47.0,R,1 nomination total,,47.0
Joker: Folie à Deux,2024-10-01,2161,5.5,"Drama, Crime, Thriller",195000000.0,206400287.0,138.0,108.45,"Warner Bros. Pictures, Joint Effort, Domain Entertainment",United States of America,English,Todd Phillips,"Scott Silver, Todd Phillips, Bob Kane","Joaquin Phoenix, Lady Gaga, Brendan Gleeson",5.2,"142,839",45.0,R,3 wins & 6 nominations total,31.0,45.0
The Platform 2,2024-09-27,1096,5.6,"Science Fiction, Horror, Thriller",,,101.0,120.888,Basque Films,Spain,Spanish,Galder Gaztelu-Urrutia,"Galder Gaztelu-Urrutia, Pedro Rivero, David Desola","Milena Smit, Hovik Keuchkerian, Natalia Tena",5.0,"35,493",45.0,TV-MA,,35.0,45.0
Megalopolis,2024-09-25,670,5.266,"Science Fiction, Drama",120000000.0,13857002.0,138.0,81.566,"American Zoetrope, Caesar Film",United States of America,"English, Latin",Francis Ford Coppola,Francis Ford Coppola,"Adam Driver, Giancarlo Esposito, Nathalie Emmanuel",4.8,"32,260",55.0,R,13 nominations total,45.0,55.0
Wolfs,2024-09-20,977,6.545,"Comedy, Action, Crime",80000000.0,,108.0,70.563,"Smoke House Pictures, Plan B Entertainment, Apple Studios",United States of America,"Croatian, English",Jon Watts,Jon Watts,"George Clooney, Brad Pitt, Amy Ryan",6.5,"72,261",60.0,R,1 win & 1 nomination total,67.0,60.0
I'm Still Here,2024-09-19,306,7.8,"Drama, History",1480000.0,22865946.0,138.0,98.012,"VideoFilmes, MACT Productions, RT Features, ARTE France Cinéma, Conspiração Filmes, Globoplay","Brazil, France",Portuguese,Walter Salles,"Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva","Fernanda Torres, Fernanda Montenegro, Selton Mello",8.9,"9,598",79.0,PG-13,19 wins & 41 nominations total,,79.0
Civil War,2024-04-10,3301,6.863,"War, Action, Drama",50000000.0,126542249.0,109.0,122.45,"DNA Films, IPR.VC, A24","Finland, United Kingdom, United States of America",English,Alex Garland,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny",7.0,"221,576",75.0,R,3 wins & 55 nominations total,81.0,75.0
Never Let Go,2024-09-18,346,6.208,"Horror, Drama",20000000.0,21768945.0,101.0,90.169,"Lionsgate, 21 Laps Entertainment, Media Capital Technologies, HalleHolly, Summit Entertainment, Firstep","United States of America, Canada, France",English,Alexandre Aja,"KC Coughlin, Ryan Grassby","Halle Berry, Percy Daggs IV, Anthony B. Jenkins",5.4,"11,218",55.0,R,,58.0,55.0
The Wild Robot,2024-09-12,4329,8.3,"Animation, Science Fiction, Family",78000000.0,324816010.0,102.0,365.732,DreamWorks Animation,United States of America,English,Chris Sanders,"Chris Sanders, Peter Brown","Lupita Nyong'o, Pedro Pascal, Kit Connor",8.2,"118,582",85.0,PG,Nominated for 3 BAFTA 48 wins & 98 nominations total,97.0,85.0
Lee,2024-09-12,305,7.1,"History, Drama, War",,23508220.0,117.0,43.221,"Brouhaha Entertainment, Brouhaha Entertainment, Juggle Productions, 55 Films, Vogue Studios, RocketScience, MS Participations, Sky Original Productions, Pasaca Entertainment","Australia, United States of America, United Kingdom, Luxembourg","English, French",Ellen Kuras,"Liz Hannah, Marion Hume, John Collee","Kate Winslet, Andy Samberg, Alexander Skarsgård",6.9,"18,007",62.0,R,1 win & 9 nominations total,67.0,62.0
Uglies,2024-09-12,713,5.834,"Science Fiction, Adventure, Action",,,100.0,26.285,"Davis Entertainment, Anonymous Content, Industry Entertainment, Wonderland Sound and Vision",United States of America,English,McG,"Jacob Forman, Vanessa Taylor, Whit Anderson","Joey King, Brianne Tju, Keith Powers",4.7,"27,936",,PG-13,,16.0,
The Killer's Game,2024-09-12,342,6.4,"Action, Comedy, Thriller",30000000.0,5928351.0,104.0,172.597,"Dogbone Entertainment, Mad Chance, Endurance Media, K. JAM Media, TKG Productions, The Feature Film One","United States of America, United Kingdom, Spain",English,J.J. Perry,"Rand Ravich, James Coyne, Jay Bonansinga","Dave Bautista, Dmitrij Kalacsov, Mia Rouba M.Kiss",5.7,"9,475",37.0,R,,47.0,37.0
