ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
667538;[878, 12, 28];2023-06-06;4778;7.3;Transformers: Rise of the Beasts
1050035;[9648, 53, 18];2023-06-02;619;7.963;Monster
985617;[18, 53];2023-06-02;440;6.408;Reality
666277;[18, 10749];2023-06-02;1801;7.743;Past Lives
955555;[28, 80, 35, 53, 18];2023-05-31;451;7.2;The Roundup: No Way Out
569094;[16, 28, 12, 878];2023-05-31;7272;8.351;Spider-Man: Across the Spider-Verse
532408;[27, 53, 9648];2023-05-31;904;6.4;The Boogeyman
986070;[28, 27, 53];2023-05-26;353;6.319;The Wrath of Becky
717930;[28, 53];2023-05-25;1060;6.8;Kandahar
447277;[12, 10751, 14, 10749];2023-05-18;2990;6.321;The Little Mermaid
385687;[28, 80, 53];2023-05-17;5751;7.1;Fast X
921452;[18, 36, 10749];2023-05-16;556;6.961;Jeanne du Barry
536437;[9648, 53, 878, 28];2023-05-11;1246;6.2;Hypnotic
998022;[18];2023-05-04;531;7.221;The Teachers' Lounge
758336;[10749, 18, 35];2023-05-04;394;6.7;Love Again
552688;[28, 53];2023-05-04;1280;6.639;The Mother
447365;[878, 12, 28];2023-05-03;7107;7.955;Guardians of the Galaxy Vol. 3
1102776;[28];2023-04-28;637;6.87;AKA
455476;[14, 28, 12];2023-04-27;1155;6.369;Knights of the Zodiac
890771;[53, 18, 27];2023-04-26;638;5.974;The Black Demon
1098110;[28, 18, 10752];2023-04-21;378;6.7;Blood & Gold
420808;[10751, 14, 28, 12];2023-04-20;687;5.471;Peter Pan & Wendy
882569;[10752, 28, 53];2023-04-19;2644;7.756;Guy Ritchie's The Covenant
868759;[28, 35, 10749];2023-04-18;1851;6.9;Ghosted
948713;[28, 12, 10752];2023-04-14;701;7.2;The Last Kingdom: Seven Kings Must Die
798286;[35, 12, 14];2023-04-14;1055;6.745;Beau Is Afraid
1085218;[53, 28];2023-04-13;498;6.5;Darkland: The Return
713704;[27, 53];2023-04-12;3182;6.929;Evil Dead Rise
931102;[28, 35, 18];2023-04-07;356;7.3;Ride On
649609;[35, 27, 28];2023-04-07;1768;6.5;Renfield
605886;[53, 80, 18];2023-04-06;1088;6.9;To Catch a Killer
964980;[18, 36];2023-04-05;1975;7.333;Air
796185;[12, 28, 18, 36];2023-04-05;1234;6.959;The Three Musketeers: D'Artagnan
758323;[27, 53];2023-04-05;2792;6.964;The Pope's Exorcist
502356;[16, 10751, 12, 14, 35];2023-04-05;9419;7.634;The Super Mario Bros. Movie
1071806;[18];2023-04-04;416;7.3;Hunger
1016121;[10749, 18, 35];2023-04-04;800;6.681;Beautiful Disaster
1000492;[18];2023-03-29;584;7.996;All Your Faces
555285;[35, 18];2023-03-29;388;7.3;Are You There God? It's Me, Margaret.
638974;[9648, 35, 80];2023-03-28;1720;6.428;Murder Mystery 2
943930;[27, 53, 9648];2023-03-24;402;5.999;Tin & Tina
800787;[18, 35];2023-03-23;357;7.1;A Good Person
493529;[12, 14, 35];2023-03-23;3784;7.343;Dungeons & Dragons: Honor Among Thieves
603692;[28, 53, 80];2023-03-22;6822;7.724;John Wick: Chapter 4
881164;[80, 9648, 53];2023-03-16;708;6.646;Boston Strangler
726759;[53, 36, 18];2023-03-15;1365;7.703;Tetris
594767;[35, 28, 14];2023-03-15;3205;6.499;Shazam! Fury of the Gods
626332;[18, 36];2023-03-11;685;7.969;Flamin' Hot
978870;[53, 80];2023-03-09;478;7.2;Last Night of Amore
958196;[53, 18];2023-03-09;388;5.608;Inside
933419;[35, 18];2023-03-09;399;6.717;Champions
934433;[27, 80, 53];2023-03-08;2702;7.002;Scream VI
921785;[35, 36, 10402];2023-03-02;443;7.4;Mixed by Erry
700391;[28, 12, 878];2023-03-02;2471;6.0;65
459003;[16, 12, 10751, 14];2023-03-02;770;7.2;Mavka: The Forest Song
677179;[18, 28];2023-03-01;2573;7.1;Creed III
977506;[80, 35, 9648, 18];2023-02-24;402;6.4;The Crime Is Mine
852096;[35, 14, 27];2023-02-24;604;6.482;We Have a Ghost
722149;[80, 9648, 53];2023-02-24;948;6.676;Luther: The Fallen Sun
1077280;[35, 28, 53];2023-02-22;455;6.0;Die Hart
804150;[53, 35, 80];2023-02-22;2113;6.048;Cocaine Bear
1091834;[99];2023-02-19;351;6.8;Return
1063422;[53];2023-02-17;368;5.402;The Strays
849869;[28, 18, 53, 80];2023-02-17;436;6.8;Kill Boksoon
844417;[80];2023-02-15;374;5.737;Marlowe
640146;[28, 12, 878];2023-02-15;5119;6.306;Ant-Man and the Wasp: Quantumania
1016084;[35];2023-02-13;604;7.137;BlackBerry
717980;[53, 80, 18];2023-02-10;541;6.932;Sharper
703451;[10749, 35];2023-02-10;781;6.268;Your Place or Mine
906221;[35, 18, 10749];2023-02-09;508;6.5;Magic Mike's Last Dance
967585;[35, 10751];2023-02-08;419;6.6;Alibi.com 2
643215;[10751, 35, 12];2023-02-01;1005;4.9;Asterix & Obelix: The Middle Kingdom
631842;[27, 9648, 53];2023-02-01;2717;6.275;Knock at the Cabin
667216;[27, 878];2023-01-27;807;6.072;Infinity Pool
980078;[27, 53];2023-01-26;1403;5.041;Winnie the Pooh: Blood and Honey
842675;[878];2023-01-22;587;7.3;The Wandering Earth II
866413;[10749, 35];2023-01-20;711;5.643;You People
768362;[18, 9648, 53];2023-01-19;1066;7.43;Missing
877703;[28, 14, 10770];2023-01-18;856;7.5;Teen Wolf: The Movie
296271;[27, 14, 878, 53];2023-01-13;389;6.504;The Devil Conspiracy
843794;[878];2023-01-12;609;6.1;JUNG_E
646389;[28, 12, 53];2023-01-12;2289;6.938;Plane
816904;[16, 12, 14];2023-01-05;462;7.0;Mummies
