ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
365620;[36, 18];2023-12-14;1020;6.4;Ferrari
845111;[12, 28, 18];2023-12-13;685;6.445;The Three Musketeers: Milady
520758;[10751, 16, 12, 35];2023-12-08;762;7.0;Chicken Run: Dawn of the Nugget
792307;[878, 10749, 35];2023-12-07;4450;7.7;Poor Things
940551;[16, 12, 35, 10751];2023-12-06;1921;7.418;Migration
838240;[16, 18, 35, 878];2023-12-06;613;8.0;Robot Dreams
787699;[35, 10751, 14];2023-12-06;3738;7.1;Wonka
891699;[28, 53];2023-11-30;779;6.194;Silent Night
798021;[35, 14, 10751];2023-11-30;660;6.383;Family Switch
1022964;[35, 14, 10751];2023-11-29;417;6.0;Candy Cane Lane
753342;[36, 10752, 10749];2023-11-22;2617;6.366;Napoleon
726209;[18, 9648, 53];2023-11-22;2628;6.405;Leave the World Behind
523607;[18, 10749, 10402];2023-11-22;733;6.343;Maestro
1075794;[16, 35, 10751];2023-11-17;1195;7.4;Leo
1071215;[27, 9648, 53];2023-11-16;1274;6.5;Thanksgiving
930564;[18, 35, 53];2023-11-16;2405;7.0;Saltburn
839369;[18];2023-11-16;839;6.614;May December
621587;[35, 18];2023-11-16;481;6.4;Next Goal Wins
695721;[18, 878, 28];2023-11-15;2873;7.0;The Hunger Games: The Ballad of Songbirds & Snakes
1022796;[16, 10751, 14, 12];2023-11-13;1546;6.3;Wish
1056360;[35, 18];2023-11-10;1046;7.317;American Fiction
976893;[18];2023-11-10;1352;7.767;Perfect Days
823482;[35, 14];2023-11-10;958;6.646;Dream Scenario
609681;[878, 12, 28];2023-11-08;2822;6.0;The Marvels
940721;[878, 27, 28];2023-11-03;2497;7.567;Godzilla Minus One
1075175;[18];2023-11-02;370;6.3;How to Have Sex
1010928;[28, 35, 18];2023-11-01;441;6.076;Wingwomen
1020006;[18, 10749];2023-10-27;824;6.82;Priscilla
840430;[35, 18];2023-10-27;1844;7.688;The Holdovers
1026227;[18, 35, 10752, 36];2023-10-26;1300;8.1;There's Still Tomorrow
800158;[80, 53];2023-10-25;2260;6.6;The Killer
507089;[27, 9648, 53];2023-10-25;4204;7.501;Five Nights at Freddy's
1147400;[16, 12, 28, 14, 10751];2023-10-21;565;7.2;Miraculous World: Paris, Tales of Shadybug and Claw Noir
987917;[35];2023-10-20;359;6.288;Old Dads
862968;[18];2023-10-20;646;6.639;Pain Hustlers
1058694;[18];2023-10-19;439;8.371;Radical
912916;[10749, 18, 35];2023-10-19;402;7.087;The Other Zoey
895549;[18, 36];2023-10-18;464;7.1;NYAD
466420;[80, 36, 18];2023-10-18;3442;7.4;Killers of the Flower Moon
1160164;[10402];2023-10-13;430;8.258;TAYLOR SWIFT | THE ERAS TOUR
901362;[16, 10751, 10402, 14, 35];2023-10-12;875;7.3;Trolls Band Together
837335;[18, 14, 35];2023-10-12;419;7.3;La Chimera
1027073;[28, 53];2023-10-06;428;6.5;In the Land of Saints and Sinners
763165;[18, 36];2023-10-06;507;7.1;The Burial
980026;[28, 18, 36];2023-10-05;369;7.747;The Promised Land
961268;[28, 53];2023-10-05;529;7.0;Ballerina
897087;[28, 35];2023-10-05;1009;6.5;Freelance
744857;[27, 53];2023-10-05;1069;7.285;When Evil Lurks
943134;[12, 18, 878];2023-10-04;737;7.0;The Animal Kingdom
807172;[27];2023-10-04;1078;5.901;The Exorcist: Believer
1172676;[35, 53];2023-09-29;434;6.877;Poison
1151534;[53, 18];2023-09-29;1396;7.356;Nowhere
937249;[53, 878, 28];2023-09-29;503;6.1;57 Seconds
866463;[80, 9648, 53];2023-09-29;1003;6.681;Reptile
1172674;[35];2023-09-28;396;6.595;The Rat Catcher
974931;[35, 27, 878];2023-09-28;897;6.9;Totally Killer
910571;[18, 53, 10749];2023-09-28;516;6.4;Fair Play
1172675;[18];2023-09-27;390;6.8;The Swan
951491;[27, 9648, 53];2023-09-27;2025;7.223;Saw X
944401;[28, 18, 80];2023-09-27;1136;7.904;Dogman
670292;[28, 12, 878];2023-09-27;3188;7.076;The Creator
1188150;[99];2023-09-26;419;6.481;Return
1139087;[16, 10751, 14, 35];2023-09-24;365;8.288;Once Upon a Studio
830764;[27, 14];2023-09-23;363;5.6;Pet Sematary: Bloodlines
820609;[27, 878, 53];2023-09-22;1195;6.7;No One Will Save You
893723;[16, 10751, 28, 878, 35, 18, 12];2023-09-21;465;7.0;PAW Patrol: The Mighty Movie
923939;[35, 14, 12];2023-09-20;1033;7.2;The Wonderful Story of Henry Sugar
859235;[10749, 18, 35];2023-09-15;373;6.217;Coup de Chance
792293;[36, 35, 18];2023-09-15;584;6.7;Dumb Money
353577;[10749, 18];2023-09-15;594;7.246;Love at First Sight
299054;[28, 12, 53];2023-09-15;1611;6.1;Expend4bles
986280;[10749, 35, 18];2023-09-14;559;7.21;Fallen Leaves
945729;[9648, 53, 80];2023-09-13;2392;6.6;A Haunting in Venice
820525;[10749, 18];2023-09-13;889;6.918;After Everything
1002185;[18, 36];2023-09-08;445;7.734;A Million Miles Away
937746;[12, 18];2023-09-07;687;7.8;Io Capitano
968051;[27];2023-09-06;2105;6.72;The Nun II
926393;[28, 53, 80];2023-08-30;3129;7.3;The Equalizer 3
814776;[35];2023-08-25;644;6.7;Bottoms
915935;[53, 9648, 80];2023-08-23;2627;7.6;Anatomy of a Fall
762430;[53, 28, 12];2023-08-23;1180;6.6;Retribution
999644;[35];2023-08-18;424;6.436;You Are So Not Invited to My Bat Mitzvah
912908;[35, 12];2023-08-17;843;7.247;Strays
565770;[28, 878, 12];2023-08-16;2694;6.7;Blue Beetle
980489;[12, 28, 18];2023-08-09;2825;7.768;Gran Turismo
724209;[53, 28];2023-08-09;1734;6.8;Heart of Stone
635910;[14, 27, 53];2023-08-09;1652;6.789;The Last Voyage of the Demeter
1070514;[35, 27];2023-08-03;558;6.6;Zom 100: Bucket List of the Dead
1110358;[35, 18];2023-08-02;614;7.086;Yannick
615656;[28, 878, 27];2023-08-02;3500;6.5;Meg 2: The Trench
614930;[16, 35, 28, 878];2023-07-31;1338;7.2;Teenage Mutant Ninja Turtles: Mutant Mayhem
930094;[35, 10749];2023-07-27;1318;8.0;Red, White & Royal Blue
1008042;[27];2023-07-26;3087;7.159;Talk to Me
616747;[35, 18, 27, 14];2023-07-26;1071;6.468;Haunted Mansion
872585;[18, 36];2023-07-19;9772;8.1;Oppenheimer
709631;[27];2023-07-19;904;6.5;Cobweb
346698;[35, 12];2023-07-19;9527;6.986;Barbie
856289;[28, 14, 10752];2023-07-15;389;7.1;Creation of the Gods I: Kingdom of Storms
805320;[53, 878, 27];2023-07-14;715;5.9;Bird Box Barcelona
508883;[16, 12, 14, 10751, 18];2023-07-14;1997;7.449;The Boy and the Heron
575264;[28, 12];2023-07-08;3995;7.539;Mission: Impossible - Dead Reckoning Part One
921636;[10749, 28, 35];2023-07-07;713;6.036;The Out-Laws
457332;[28, 35, 53];2023-07-06;987;6.9;Hidden Strike
614479;[27, 53];2023-07-05;1724;6.582;Insidious: The Red Door
496450;[16, 14, 28, 10749, 10751];2023-07-05;878;7.6;Miraculous: Ladybug & Cat Noir, The Movie
678512;[28, 18];2023-07-03;2479;8.0;Sound of Freedom
1040148;[16, 10751, 14, 35];2023-06-28;993;7.2;Ruby Gillman, Teenage Kraken
335977;[12, 28];2023-06-25;3528;6.6;Indiana Jones and the Dial of Destiny
1140066;[878, 53];2023-06-24;603;6.532;Paradise
988078;[10749, 18, 35];2023-06-23;872;6.593;Through My Window: Across the Sea
961323;[16, 10751, 28, 878, 12, 14, 18];2023-06-23;1136;7.9;Nimona
1083862;[16, 28, 27];2023-06-22;1008;7.3;Resident Evil: Death Island
864168;[35];2023-06-22;382;6.6;Joy Ride
1076364;[16, 12, 10751, 35];2023-06-15;411;7.485;Carl's Date
884605;[35, 10749];2023-06-15;3161;6.758;No Hard Feelings
