IMDBID;TITLE;YEAR;GENRE;DIRECTOR;WRITER;ACTORS;IMDBRATING;IMDBVOTES;METASCORE;BOXOFFICE;RELEASED;RUNTIME;LANGUAGE;COUNTRY;RATED;AWARDS;META_CRITIC_RATING;ROTTEN_TOMATOES_RATING
tt1153706;Dance Flick;2009;Action, Comedy, Music;Damien Dante Wayans;Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans;Marlon Wayans, Shawn Wayans, Shoshana Bush;3.6;12,857;40;$25,662,155;22 May 2009;83 min;English;United States;PG-13;;40/100;18%
tt1350498;Mega Shark vs. Giant Octopus;2009;Action, Adventure, Comedy;Jack Perez;Jack Perez;Lorenzo Lamas, Debbie Gibson, Vic Chao;2.5;11,251;;;26 May 2009;88 min;English;United States;R;;;19%
tt1068678;Veronika Decides to Die;2009;Drama, Romance;Emily Young;Paulo Coelho, Larry Gross, Roberta Hanley;Sarah Michelle Gellar, Jonathan Tucker, Erika Christensen;6.3;13,325;;;20 Jan 2015;103 min;English;United States;R;;;
tt1212974;Bitch Slap;2009;Action, Comedy, Crime;Rick Jacobson;Rick Jacobson, Eric Gruendemann;Julia Voth, Erin Cummings, America Olivo;4.5;14,257;19;$17,365;06 Nov 2009;109 min;English;United States;R;;19/100;29%
tt1179794;Timer;2009;Comedy, Drama, Romance;Jac Schaeffer;Jac Schaeffer;Emma Caulfield Ford, Scott Holroyd, Kali Rocha;6.5;13,860;;;30 Apr 2010;99 min;English, Spanish;United States;R;1 win & 1 nomination;;69%
tt1032819;Powder Blue;2009;Action, Crime, Drama;Timothy Linh Bui;Timothy Linh Bui, Stephane Gauger;Jessica Biel, Eddie Redmayne, Forest Whitaker;6.2;15,437;;;15 Oct 2009;106 min;English;United States;R;;;25%
tt1135092;The Limits of Control;2009;Crime, Drama, Mystery;Jim Jarmusch;Jim Jarmusch;Isaach De Bankolé, Alex Descas, Jean-François Stévenin;6.2;21,425;41;$426,688;19 Sep 2009;116 min;English, Spanish, Arabic, French, Japanese;United States, Japan;R;1 win;41/100;43%
tt1315883;Incognito;2009;Comedy;Eric Lavaine;Eric Lavaine, Héctor Cabello Reyes, Bénabar;Bénabar, Franck Dubosc, Jocelyn Quivrin;5.9;1,180;;;29 Apr 2009;93 min;French;France;Not Rated;;;
tt1015999;Legally Blondes;2009;Comedy, Family;Savage Steve Holland;Chad Gomez Creasey, Dara Resnik, Amanda Brown (character);Milly Rosso, Becky Rosso, Christopher Cousins, Brittany Curran;3.7;5,007;;;28 Apr 2009;86 min;English;USA;PG;1 win.;;
tt1124052;City of Life and Death;2009;Drama, History, War;Chuan Lu;Chuan Lu;Ye Liu, Wei Fan, Hideo Nakaizumi;7.7;11,949;85;$122,558;22 Apr 2009;133 min;Mandarin, English, Japanese, German;China, Hong Kong;R;17 wins & 15 nominations total;85/100;92%
tt1319746;My Fake Fiancé;2009;Comedy, Romance;Gil Junger;Howard March;Melissa Joan Hart, Joey Lawrence, Jason MacDonald;6.3;7,459;;;19 Apr 2009;95 min;English;United States;Not Rated;;;
tt1337072;Planet of the Dead;2009;Adventure, Drama, Sci-Fi;James Strong;Russell T. Davies, Gareth Roberts, Sydney Newman;David Tennant, Michelle Ryan, Lee Evans;7.4;6005;;;26 Jul 2009;59 min;English, French;United Kingdom;TV-PG;;;
tt1232831;Crows Zero II;2009;Action, Comedy, Crime;Takashi Miike;Hiroshi Takahashi, Shôgo Mutô;Shun Oguri, Kyôsuke Yabe, Meisa Kuroki;7.2;5,547;;;11 Apr 2009;133 min;Japanese;Japan;;1 nomination;;
tt1179258;Chéri;2009;Comedy, Drama, Romance;Stephen Frears;Christopher Hampton, Colette;Michelle Pfeiffer, Rupert Friend, Kathy Bates;6.1;11,789;63;$2,715,657;17 Jul 2009;86 min;English, French, Latin, Italian;United Kingdom, France, Germany;R;3 wins & 2 nominations;63/100;51%
tt1421378;Scooby-Doo and the Samurai Sword;2009;Animation, Action, Comedy, Family, Fantasy, Mystery;Christopher Berkeley;Joe Sichta;Frank Welker, Casey Kasem, Mindy Cohn, Grey Griffin;6.5;2,247;;;07 Apr 2009;74 min;English;USA;Not Rated;;;
tt1482967;Monsters vs Aliens: Mutant Pumpkins from Outer Space;2009;Animation, Action, Adventure;Peter Ramsey;Adam F. Goldberg, Conrad Vernon, Rob Letterman;Reese Witherspoon, Seth Rogen, Hugh Laurie;6.3;3,419;;;28 Oct 2009;26 min;English;United States;TV-PG;1 win & 1 nomination total;;
tt1350940;La première étoile;2009;Comedy;Lucien Jean-Baptiste;Lucien Jean-Baptiste, Marie-Castille Mention-Schaar;Firmine Richard, Lucien Jean-Baptiste, Anne Consigny;5.6;981;;;25 Mar 2009;90 min;French;France;;3 wins & 1 nomination;;
tt1295071;Tales of the Black Freighter;2009;Animation, Short, Action, Adventure, Horror;Daniel DelPurgatorio, Mike Smith;"Alex Tse, Zack Snyder, Dave Gibbons (based on the graphic novel ""Watchmen"" co-created by)";Gerard Butler, Jared Harris, Lori Tritel, Siobhan Flynn;7.1;6,417;;;24 Mar 2009;26 min;English;USA;R;;;
tt1235837;Happily N'ever After 2: Snow White: Another Bite at the Apple;2009;Animation, Adventure, Comedy;Steven E. Gordon, Boyd Kirkland;Chris Denk;G.K. Bowes, Cam Clarke, Doug Erholtz;3.6;2,112;;;02 Oct 2009;75 min;English;United States, Germany, United Kingdom;TV-PG;;;
tt1300853;Green Street Hooligans 2;2009;Crime, Drama, Sport;Jesse V. Johnson;T. Jay O'Brien, Lexi Alexander (characters), Dougie Brimson (characters);John Bariamis, Nicola Bertram, Matt Candito, Lonnie Cayetano;4.8;13,750;;;28 Jul 2010;94 min;English;USA;Not Rated;;;
tt1075419;Shinjuku Incident;2009;Action, Crime, Drama;Derek Tung-Sing Yee;Derek Tung-Sing Yee, Tin-Nam Chun;Jackie Chan, Naoto Takenaka, Daniel Wu;6.9;13,903;63;;02 Apr 2009;119 min;Mandarin, Japanese, Cantonese, English, Min Nan, Hokkien;Hong Kong;R;1 win & 6 nominations total;63/100;60%
tt1228933;Laid to Rest;2009;Horror, Thriller;Robert Hall;Robert Hall;Bobbi Sue Luther, Kevin Gage, Lena Headey;5.2;9,183;;;12 May 2023;90 min;English;United States;R;3 nominations;;80%
tt1314280;Welcome;2009;Drama;Philippe Lioret;Philippe Lioret, Emmanuel Courcol, Olivier Adam;Vincent Lindon, Firat Ayverdi, Audrey Dana;7.5;7,687;61;;11 Mar 2009;110 min;French, Kurdish, English, Turkish;France;Not Rated;13 wins & 16 nominations total;61/100;87%
tt1259574;Red Riding: The Year of Our Lord 1974;2009;Crime, Drama, History;Julian Jarrold;Tony Grisoni, David Peace;Andrew Garfield, David Morrissey, John Henshaw;6.9;13,986;;$151,644;05 Mar 2009;102 min;English;United Kingdom;Not Rated;Won 3 BAFTA 5 wins & 10 nominations total;;100%
tt1079444;Dead Like Me: Life After Death;2009;Comedy, Drama, Fantasy;Stephen Herek;Bryan Fuller (characters), John Masius, Stephen Godchaux, Bryan Fuller (excerpts written by), Dan E. Fesman (excerpts written by), Harry Victor (excerpts written by), J.J. Philbin (excerpts written by);Ellen Muth, Callum Blue, Sarah Wynter, Jasmine Guy;6.1;13,000;;;17 Feb 2009;87 min;English;USA;R;;;
tt1090750;Dadnapped;2009;Action, Adventure, Comedy;Paul Hoen;Alan Silberberg;Emily Osment, David Henrie, Jason Earles;4.8;3,348;;;16 Feb 2009;84 min;English;United States;TV-G;;;
tt1020543;Infestation;2009;Action, Adventure, Comedy;Kyle Rankin;Kyle Rankin;Christopher Rodriguez Marquette, Brooke Nevin, Kinsey Packard;5.8;9,879;;;28 Nov 2009;91 min;English;United States;R;1 win & 2 nominations;;
tt1164647;Space Buddies;2009;Adventure, Family, Fantasy, Sci-Fi;Robert Vince;"Kevin DiCicco (character ""Air Bud""), Robert Vince, Anna McRoberts, Phil Hanley (additional comedy material), Paul Tamasy (characters), Aaron Mendelsohn (characters)";F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross;4.3;2,423;;;03 Feb 2009;84 min;English;USA, Canada;G;;;
tt1099227;Se Eu Fosse Você 2;2009;Comedy, Fantasy;Daniel Filho;Daniel Filho, Euclydes Marinho, Rene Belmonte;Glória Pires, Tony Ramos, Isabelle Drummond;5.6;3,241;;;02 Jan 2009;96 min;Portuguese;Brazil;;4 wins & 18 nominations;;
tt1071804;Ink;2009;Action, Drama, Fantasy;Jamin Winans;Jamin Winans;Christopher Soren Kelly, Quinn Hunchar, Jessica Duffy;6.8;22,525;;;23 Jan 2009;107 min;English;United States;Not Rated;1 win & 1 nomination;;100%
tt1140941;Joy Ride 2: Dead Ahead;2008;Crime, Horror, Romance, Thriller;Louis Morneau;James Robert Johnston, Bennett Yellin, Clay Tarver (based on characters created by), J.J. Abrams (characters);Nicki Aycox, Nick Zano, Laura Jordan, Kyle Schmid;5.1;8,170;;;07 Oct 2008;91 min;English;USA, Canada;Unrated;1 win & 1 nomination.;;
tt1082007;Italians;2009;Comedy;Giovanni Veronesi;Giovanni Veronesi, Ugo Chiti, Andrea Agnello;Sergio Castellitto, Riccardo Scamarcio, Remo Girone;5.6;1,206;;;23 Jan 2009;116 min;Italian;Italy;;2 wins & 6 nominations;;
tt1238291;Five Minutes of Heaven;2009;Drama, Thriller;Oliver Hirschbiegel;Guy Hibbert;Liam Neeson, James Nesbitt, Anamaria Marinca;6.6;13,352;62;$15,676;27 Feb 2009;89 min;English;United Kingdom, Ireland;R;Won 1 BAFTA Award10 wins & 12 nominations total;62/100;75%
tt1352369;Grotesque;2009;Horror, Thriller;Kôji Shiraishi;Kôji Shiraishi;Kotoha Hiroyama, Hiroaki Kawatsure, Shigeo Ôsako;4.7;7,710;;;17 May 2009;73 min;Japanese;Japan;Not Rated;;;
tt1119191;The Killing Room;2009;Mystery, Thriller;Jonathan Liebesman;Gus Krieger, Ann Peacock;Nick Cannon, Clea DuVall, Timothy Hutton;5.6;15,070;;;14 Nov 2009;93 min;English;United States;R;2 nominations;;67%
tt1411249;Sorority Wars;2009;Comedy, Drama;James Hayman;Michelle Lovretta;Lucy Hale, Courtney Thorne-Smith, Amanda Schull;5.7;5,876;;;17 Oct 2009;95 min;English;United States;TV-PG;;;
tt1321969;The Next Doctor;2008;Adventure, Drama, Sci-Fi;Andy Goddard;Russell T. Davies, Kit Pedler, Gerry Davis;David Tennant, David Morrissey, Dervla Kirwan;7.4;5979;;;27 Jun 2009;60 min;English;United Kingdom;TV-PG;;;
tt1046947;Last Chance Harvey;2008;Drama, Romance;Joel Hopkins;Joel Hopkins;Dustin Hoffman, Emma Thompson, Kathy Baker;6.6;22,806;57;$14,889,042;16 Jan 2009;93 min;English;United States;PG-13;1 win & 3 nominations total;57/100;72%
tt0974613;The Other Man;2008;Drama, Mystery, Thriller;Richard Eyre;Richard Eyre, Charles Wood, Bernhard Schlink;Liam Neeson, Antonio Banderas, Laura Linney;5.4;12,532;34;$149,528;27 May 2009;88 min;English;United Kingdom, United States;R;;34/100;16%
tt0405393;Rudo y Cursi;2008;Comedy, Drama, Sport;Carlos Cuarón;Carlos Cuarón;Gael García Bernal, Diego Luna, Guillermo Francella;6.7;9,426;67;$1,827,660;15 May 2009;103 min;Spanish;Mexico;R;1 win & 9 nominations;67/100;73%
tt1029235;Max Manus: Man of War;2008;Action, Biography, Crime;Joachim Rønning, Espen Sandberg;Thomas Nordseth-Tiller;Aksel Hennie, Agnes Kittelsen, Nicolai Cleve Broch;7.3;30,342;60;;03 Sep 2010;118 min;Norwegian, German, English, Russian, Finnish;Norway, Denmark, Germany;Not Rated;12 wins & 8 nominations total;60/100;79%
tt1182937;Rab Ne Bana Di Jodi;2008;Comedy, Drama, Music;Aditya Chopra;Aditya Chopra;Shah Rukh Khan, Anushka Sharma, Vinay Pathak;7.2;55,483;;$2,078,956;12 Dec 2008;167 min;Hindi;India;Not Rated;11 wins & 23 nominations total;;78%
tt1292594;Front of the Class;2008;Biography, Drama;Peter Werner;Thomas Rickman, Brad Cohen, Lisa Wysocky;James Wolk, Treat Williams, Dominic Scott Kay;8.1;9,252;;;07 Dec 2008;95 min;English;United States;PG;;;
tt1249300;Merry Christmas, Drake & Josh;2008;Comedy, Family;Michael Grossman;Dan Schneider, Steven Molaro;Drake Bell, Josh Peck, Miranda Cosgrove;6.7;4,593;;;05 Dec 2008;90 min;English;United States;TV-G;4 nominations;;
tt1286126;A.R.O.G;2008;Comedy, Fantasy, Sci-Fi;Ali Taner Baltaci, Cem Yilmaz;Cem Yilmaz;Cem Yilmaz, Özge Özberk, Zafer Algöz;7.4;46,053;;;05 Dec 2008;127 min;Turkish;Turkey;TV-G;9 nominations;;
tt1217637;Anything for Her;2008;Crime, Drama, Thriller;Fred Cavayé;Fred Cavayé, Guillaume Lemans;Vincent Lindon, Diane Kruger, Lancelot Roch;7.1;9,916;;;03 Dec 2008;96 min;French, Spanish;France, Spain;;1 nomination;;81%
tt0906734;The Broken;2008;Drama, Horror, Thriller;Sean Ellis;Sean Ellis;Lena Headey, Ulrich Thomsen, Melvil Poupaud;5.4;11,441;;;26 Nov 2008;93 min;English;United Kingdom, France;R;1 win & 1 nomination total;;50%
tt0443559;Killshot;2008;Action, Crime, Drama;John Madden;Hossein Amini, Elmore Leonard;Thomas Jane, Diane Lane, Mickey Rourke;6.0;22,252;;$18,643;13 Nov 2008;95 min;English;United States;R;;;38%
tt1132608;Ugly Melanie;2008;Comedy;Jean-Patrick Benes, Allan Mauduit;Jean-Patrick Benes, Allan Mauduit;Marilou Berry, Frédérique Bel, Pierre-François Martin-Laval;5.5;1,108;;;12 Nov 2008;93 min;French;France;;1 nomination;;
tt1034320;Private Valentine: Blonde & Dangerous;2008;Adventure, Comedy, Drama;Steve Miner;April Blair, Kelly Bowe;Jessica Simpson, Vivica A. Fox, Steve Guttenberg;4.3;4,498;;;07 Nov 2008;98 min;English;United States;PG-13;;;
tt0865554;The Informers;2008;Crime, Drama, Thriller;Gregor Jordan;Bret Easton Ellis, Nicholas Jarecki;Billy Bob Thornton, Kim Basinger, Mickey Rourke;4.9;17,687;20;$300,000;24 Apr 2009;98 min;English;United States, Germany;R;;20/100;13%
tt1320297;We Can Do That;2008;Comedy;Giulio Manfredonia;Fabio Bonifacci, Giulio Manfredonia;Claudio Bisio, Anita Caprioli, Giuseppe Battiston;7.5;1,820;;;31 Oct 2008;111 min;Italian;Italy;;12 wins & 20 nominations;;
tt1204979;Vacancy 2: The First Cut;2008;Horror, Thriller;Eric Bross;Mark L. Smith;Agnes Bruckner, David Moscow, Scott Anderson;4.9;8,682;;;20 Jan 2009;86 min;English;United States;R;;;
tt0844457;North Face;2008;Adventure, Biography, Drama;Philipp Stölzl;Chris Silber, Philipp Stölzl, Rupert Henning;Benno Fürmann, Florian Lukas, Johanna Wokalek;7.4;16,624;67;$711,421;23 Oct 2008;126 min;German, Swiss German, French, Italian;Germany, Austria, Switzerland;Not Rated;4 wins & 7 nominations total;67/100;84%
tt1204883;Boogeyman 3;2008;Horror, Thriller;Gary Jones;Brian Sieve, Eric Kripke;Erin Cahill, Charles Hittinger, Mimi Michaels;4.6;5,440;;;20 Jan 2009;94 min;English;United States, Bulgaria;Unrated;;;
tt0926063;Dance of the Dead;2008;Action, Comedy, Horror;Gregg Bishop;Joe Ballarini;Jared Kusnitz, Greyson Chadwick, Chandler Darby;5.8;12,101;;;09 Mar 2008;87 min;English;United States;R;1 win & 2 nominations;;
tt0469903;The Express;2008;Biography, Drama, Sport;Gary Fleder;Charles Leavitt, Robert Gallagher;Rob Brown, Dennis Quaid, Clancy Brown;7.2;23,043;58;$9,793,406;10 Oct 2008;130 min;English;United States, Germany;PG;1 win & 3 nominations;58/100;63%
tt1188990;Cold Prey 2;2008;Horror, Thriller;Mats Stenberg;Thomas Moldestad, Martin Sundland, Roar Uthaug;Ingrid Bolsø Berdal, Marthe Snorresdotter Rovik, Kim Arne Hagen;6.1;10,130;;;10 Oct 2008;90 min;Norwegian;Norway;Not Rated;3 nominations;;
tt1332128;Zeitgeist: Addendum;2008;Documentary, History, War;Peter Joseph;Peter Joseph;Jacque Fresco, Roxanne Meadows, John Perkins, George Carlin;8.2;17,980;;;02 Oct 2008;123 min;English;USA;Not Rated;;;
tt0938341;Tokyo Sonata;2008;Drama;Kiyoshi Kurosawa;Kiyoshi Kurosawa, Max Mannix, Sachiko Tanaka;Teruyuki Kagawa, Kyôko Koizumi, Yû Koyanagi;7.5;12,468;80;$278,356;27 Sep 2008;120 min;Japanese;Japan, Netherlands, Hong Kong;PG-13;10 wins & 10 nominations total;80/100;94%
tt1295021;Scooby-Doo and the Goblin King;2008;Animation, Adventure, Comedy, Family, Fantasy, Music, Mystery;Joe Sichta;Joe Sichta;Frank Welker, Casey Kasem, Grey Griffin, Mindy Cohn;6.4;2,368;;;23 Sep 2008;75 min;English;USA;Not Rated;;;
tt1263778;The Beautiful Person;2008;Comedy, Drama;Christophe Honoré;Christophe Honoré, Gilles Taurand, Madame de La Fayette;Louis Garrel, Léa Seydoux, Grégoire Leprince-Ringuet;6.6;8,141;;;06 Mar 2009;97 min;French, Italian, English, Russian;France;Unrated;2 wins & 4 nominations;;57%
tt0445939;The Burrowers;2008;Horror, Thriller, Western;J.T. Petty;J.T. Petty;Clancy Brown, David Busse, Harley Coriz;5.7;9,491;;;21 Sep 2008;96 min;English, French, Sioux;United States;R;5 nominations;;73%
tt1054588;Flash of Genius;2008;Biography, Drama;Marc Abraham;Philip Railsback, John Seabrook;Greg Kinnear, Lauren Graham, Alan Alda;7.0;18,036;57;$4,442,377;03 Oct 2008;119 min;English, Spanish;Canada, United States;PG-13;1 win total;57/100;62%
tt0772181;Krabat;2008;Drama, Fantasy, Thriller;Marco Kreuzpaintner;Michael Gutmann, Marco Kreuzpaintner, Otfried Preußler;David Kross, Christian Redl, Daniel Brühl;6.1;6,915;;;09 Oct 2008;120 min;German;Germany, United Kingdom, Romania;;2 wins & 3 nominations;;
tt0914797;Bottle Shock;2008;Comedy, Drama;Randall Miller;Jody Savin, Randall Miller, Ross Schwartz;Chris Pine, Alan Rickman, Bill Pullman;6.8;18,302;56;$4,078,607;05 Sep 2008;110 min;English, French, German;United States;PG-13;1 win;56/100;48%
tt1259998;Next Avengers: Heroes of Tomorrow;2008;Animation, Action, Adventure, Family, Fantasy, Horror, Sci-Fi;Jay Oliva, Gary Hartle;Greg Johnson (screen story), Craig Kyle (screen story), Christopher L. Yost (screenplay);Noah Crawford, Brenna O'Brien, Aidan Drummond, Dempsey Pappion;6.3;4,657;;;02 Sep 2008;78 min;English;USA;PG;;;
tt1083845;Ballet Shoes;2007;Drama, Family, Musical;Sandra Goldbacher;Noel Streatfeild, Heidi Thomas;Emma Watson, Yasmin Paige, Lucy Boynton;6.6;9,265;;;26 Dec 2007;85 min;English;United Kingdom;PG;2 wins & 1 nomination total;;100%
tt0976060;Tokyo!;2008;Comedy, Drama, Fantasy;Leos Carax, Michel Gondry, Bong Joon Ho;Michel Gondry, Gabrielle Bell, Leos Carax;Ayako Fujitani, Ryô Kase, Ayumi Ito;7.0;12,084;63;$351,059;16 Aug 2008;112 min;Japanese, French, English;France, Japan, South Korea, Germany;Unrated;2 wins & 3 nominations;63/100;76%
tt0822868;Make It Happen;2008;Drama, Musical;Darren Grant;Duane Adler, Nicole Avril;Mary Elizabeth Winstead, Tessa Thompson, Riley Smith;5.4;6,533;;;08 Aug 2008;90 min;English;United States;PG-13;1 win;;24%
tt0974554;Elegy;2008;Drama, Romance;Isabel Coixet;Nicholas Meyer, Philip Roth;Ben Kingsley, Penélope Cruz, Patricia Clarkson;6.7;23,406;66;$3,581,642;18 Apr 2008;112 min;English, Spanish;United States;R;3 wins & 5 nominations;66/100;74%
tt0972883;Red;2008;Drama, Thriller;Trygve Allister Diesen, Lucky McKee;Stephen Susco, Jack Ketchum;Brian Cox, Noel Fisher, Kyle Gallner;6.9;13,131;61;$4,643;20 Jan 2008;93 min;English;United States;R;1 win & 2 nominations;61/100;71%
tt0411475;Hell Ride;2008;Action, Drama, Thriller;Larry Bishop;Larry Bishop;Larry Bishop, Dennis Hopper, Michael Madsen;5.0;16,611;25;$213,608;17 Jan 2009;84 min;English;United States;R;1 win total;25/100;10%
tt0961108;Fireflies in the Garden;2008;Drama;Dennis Lee;Dennis Lee;Ryan Reynolds, Willem Dafoe, Emily Watson;6.4;13,787;34;$70,600;17 Jul 2008;99 min;English;United States;R;1 nomination;34/100;21%
tt1034306;Dorothy Mills;2008;Drama, Horror, Mystery;Agnès Merlet;Agnès Merlet, Juliette Sales;Carice van Houten, Jenn Murray, David Wilmot;6.0;6,077;;;06 Aug 2008;102 min;English;Ireland, France;R;4 nominations;;
tt1027862;Swing Vote;2008;Comedy, Drama;Joshua Michael Stern;Jason Richman, Joshua Michael Stern, David Giammarco;Kevin Costner, Paula Patton, Kelsey Grammer;6.1;19,793;47;$16,289,867;01 Aug 2008;120 min;English;United States;PG-13;1 nomination total;47/100;38%
tt1160525;Pokémon: Giratina and the Sky Warrior;2008;Animation, Action, Adventure;Kunihiko Yuyama;Satoshi Tajiri, Jun'ichi Masuda, Ken Sugimori;Rica Matsumoto, Amy Palant, Ikue Ôtani;6.0;3,029;;;13 Feb 2009;100 min;Japanese;Japan;Not Rated;1 win total;;
tt0810823;The Deaths of Ian Stone;2007;Horror, Thriller;Dario Piana;Brendan Hood;Mike Vogel, Jaime Murray, Christina Cole;5.5;13,733;;$97,182;18 Jul 2007;87 min;English;United Kingdom, United States;R;1 nomination;;63%
tt1082886;The Wackness;2008;Comedy, Drama, Romance;Jonathan Levine;Jonathan Levine;Josh Peck, Ben Kingsley, Olivia Thirlby;6.9;31,415;61;$2,077,116;01 Aug 2008;99 min;English;United Kingdom, United States;R;4 wins & 4 nominations;61/100;70%
tt0961728;The Escapist;2008;Crime, Drama, Thriller;Rupert Wyatt;Daniel Hardy, Rupert Wyatt;Brian Cox, Damian Lewis, Joseph Fiennes;6.7;17,556;56;$13,439;20 Jun 2008;102 min;English;United Kingdom, Ireland;Not Rated;2 wins & 6 nominations;56/100;67%
tt0803057;The Promotion;2008;Comedy;Steve Conrad;Steve Conrad;Seann William Scott, John C. Reilly, Chris Conrad;5.6;19,894;51;$408,709;13 Jun 2008;86 min;English, Spanish;United States;R;;51/100;54%
tt0392878;The Onion Movie;2008;Comedy;Tom Kuntz, Mike Maguire;Todd Hanson, Robert Siegel;Len Cariou, Sarah McElligott, Amir Talai;6.2;16,753;;;07 Jan 2008;86 min;English, Russian, Spanish;United States;Not Rated;;;
tt1233381;Three Monkeys;2008;Drama;Nuri Bilge Ceylan;Ebru Ceylan, Nuri Bilge Ceylan, Ercan Kesal;Yavuz Bingöl, Hatice Aslan, Ahmet Rifat Sungar;7.3;23,292;73;$41,343;12 Sep 2008;109 min;Turkish;Turkey, France, Italy;Not Rated;24 wins & 17 nominations;73/100;77%
tt1173745;Revanche;2008;Crime, Drama, Romance;Götz Spielmann;Götz Spielmann;Johannes Krisch, Irina Potapenko, Andreas Lust;7.5;16,327;84;$258,388;16 May 2008;121 min;German, Russian;Austria;Not Rated;Nominated for 1 Oscar. 15 wins & 8 nominations total;84/100;96%
tt1255891;Next Floor;2008;Short, Comedy;Denis Villeneuve;Jacques Davidts, Phoebe Greenberg;Simone Chevalot, Luc-Martial Dagenais, Kenneth Fernandez;7.4;6,878;;;01 Aug 2008;11 min;English;Canada;TV-PG;21 wins & 3 nominations;;
tt0780534;My Mom's New Boyfriend;2008;Comedy, Crime, Romance;George Gallo;George Gallo;Antonio Banderas, Meg Ryan, Colin Hanks;5.3;12,569;;;30 Apr 2008;119 min;English;Germany, United States;PG-13;;;
tt0884224;War, Inc.;2008;Action, Comedy, Thriller;Joshua Seftel;Mark Leyner, Jeremy Pikser, John Cusack;John Cusack, Marisa Tomei, Hilary Duff;5.5;22,669;37;$580,862;13 Jun 2008;107 min;English, Hungarian;United States;R;1 nomination;37/100;29%
tt1002966;Cash;2008;Comedy, Crime, Thriller;Éric Besnard;Éric Besnard;Jean Dujardin, Jean Reno, Valeria Golino;5.9;5,131;;;23 Apr 2008;100 min;French, English;France;Not Rated;;;
tt0858479;Smart People;2008;Comedy, Drama, Romance;Noam Murro;Mark Poirier;Dennis Quaid, Thomas Haden Church, Sarah Jessica Parker;6.1;23,560;57;$9,511,289;11 Apr 2008;95 min;English, Spanish, French;United States;R;3 nominations;57/100;50%
tt1012804;Redbelt;2008;Drama, Sport;David Mamet;David Mamet;Chiwetel Ejiofor, Tim Allen, Emily Mortimer;6.7;21,619;69;$2,345,941;09 May 2008;99 min;English, Portuguese, Japanese;United States;R;1 nomination;69/100;67%
tt1073655;Amore, bugie & calcetto;2008;Comedy;Luca Lucini;Fabio Bonifacci, Luca Lucini;Giorgio Basile, Giuseppe Battiston, Claudio Bisio;;880;;;04 Apr 2008;115 min;Italian;Italy;;2 wins & 3 nominations;;
tt0365675;The Red Baron;2008;Action, Adventure, Biography;Nikolai Müllerschön;Nikolai Müllerschön;Matthias Schweighöfer, Lena Headey, Til Schweiger;6.3;13,304;;$37,189;10 Apr 2008;106 min;German, English, French;Germany, United Kingdom;PG-13;2 nominations;;13%
tt0489281;Stop-Loss;2008;Drama, War;Kimberly Peirce;Mark Richard, Kimberly Peirce;Ryan Phillippe, Abbie Cornish, Joseph Gordon-Levitt;6.4;21,140;61;$10,915,744;28 Mar 2008;112 min;English;United States;R;2 wins & 5 nominations total;61/100;64%
tt0920458;Flame & Citron;2008;Action, Drama, History;Ole Christian Madsen;Lars Kristian Andersen, Ole Christian Madsen;Thure Lindhardt, Mads Mikkelsen, Stine Stengade;7.2;20,184;74;$148,089;28 Mar 2008;130 min;Danish, German;Denmark, Germany, Norway, France, Sweden, Finland, Czech Republic;Not Rated;9 wins & 15 nominations;74/100;86%
tt1068649;I've Loved You So Long;2008;Drama;Philippe Claudel;Philippe Claudel;Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius;7.6;20,854;79;$3,169,305;20 Feb 2009;117 min;French, English;France, Germany;PG-13;Won 1 BAFTA Award15 wins & 31 nominations total;79/100;89%
tt0920470;The Last Deadly Mission;2008;Crime, Drama, Thriller;Olivier Marchal;Olivier Marchal;Daniel Auteuil, Olivia Bonamy, Catherine Marchal;6.6;6,588;;;12 Mar 2008;125 min;French;France;Not Rated;;;
tt0892899;Outpost;2008;Action, Horror, Sci-Fi;Steve Barker;Rae Brunton, Kieran Parker, Steve Barker;Ray Stevenson, Julian Wadham, Richard Brake;5.8;18,081;;;11 Mar 2008;90 min;English;United Kingdom;R;;;
tt1072755;Minutemen;2008;Adventure, Comedy, Family;Lev L. Spiro;John Killoran, David Diamond, David Weissman;Jason Dolley, Luke Benward, Nicholas Braun;5.8;6,777;;;25 Jan 2008;98 min;English;United States;TV-G;5 nominations;;
tt0449994;Jodhaa Akbar;2008;Action, Drama, History;Ashutosh Gowariker;Haidar Ali, Ashutosh Gowariker, K.P. Saxena;Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood;7.5;35,180;69;$3,440,718;15 Feb 2008;213 min;Hindi, Urdu;India;Not Rated;38 wins & 35 nominations;69/100;79%
tt0494652;Welcome Home, Roscoe Jenkins;2008;Comedy, Romance;Malcolm D. Lee;Malcolm D. Lee;Martin Lawrence, Louis C.K., James Earl Jones;5.5;16,041;46;$42,436,517;08 Feb 2008;114 min;English;United States;PG-13;;46/100;23%
tt0804492;The Hottie & the Nottie;2008;Comedy, Romance;Tom Putnam;Heidi Ferrer;Paris Hilton, Joel David Moore, Christine Lakin;2.0;39,353;7;$27,696;21 Feb 2008;91 min;English;United States;PG-13;4 wins & 4 nominations total;7/100;6%
